epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,79.8983,0.76639,1.32576,0.95135,0.84218,0.82836,0.84604,0.61318,0.96635,0.89821,1.10323,0.000648148,0.000648148,0.000648148
2,168.559,0.78592,0.64984,0.95665,0.74694,0.85904,0.83257,0.60006,1.00322,0.8735,1.1118,0.00124973,0.00124973,0.00124973
3,263.376,0.81269,0.66287,0.97884,0.71564,0.81343,0.76225,0.55304,1.01105,0.84834,1.11011,0.00178531,0.00178531,0.00178531
4,350.887,0.79995,0.64686,0.97635,0.74547,0.83055,0.82799,0.5941,0.93493,0.82941,1.08075,0.001703,0.001703,0.001703
5,439.629,0.86199,0.69199,0.99586,0.73272,0.79104,0.7806,0.5663,0.95389,0.84409,1.09947,0.001604,0.001604,0.001604
6,520.705,0.81914,0.68335,0.96687,0.71967,0.76633,0.79856,0.5801,1.00046,0.88181,1.12472,0.001505,0.001505,0.001505
7,606.081,0.82163,0.63535,0.96186,0.82187,0.80597,0.85542,0.63646,0.92851,0.75954,1.11127,0.001406,0.001406,0.001406
8,697.873,0.78301,0.60374,0.95937,0.81664,0.8209,0.86903,0.64797,0.92268,0.76642,1.08047,0.001307,0.001307,0.001307
9,784.772,0.77699,0.61532,0.96381,0.8123,0.80739,0.86725,0.65054,0.98243,0.68018,1.10036,0.001208,0.001208,0.001208
10,873.797,0.7593,0.56203,0.9591,0.80287,0.73881,0.82369,0.59811,1.04169,0.75924,1.17553,0.001109,0.001109,0.001109
11,965.387,0.69973,0.53338,0.9248,0.75289,0.88806,0.8551,0.62251,1.05295,0.64984,1.19367,0.00101,0.00101,0.00101
12,1053.52,0.71163,0.53424,0.91809,0.81811,0.80597,0.84976,0.62817,1.0262,0.77113,1.15193,0.000911,0.000911,0.000911
13,1145.95,0.69657,0.51027,0.9292,0.81284,0.84269,0.87937,0.64587,1.01042,0.71186,1.1274,0.000812,0.000812,0.000812
14,1236.02,0.67684,0.48287,0.90966,0.78349,0.77612,0.84024,0.61727,0.99904,0.83936,1.1399,0.000713,0.000713,0.000713
15,1326.25,0.66628,0.46287,0.90541,0.80849,0.84328,0.86016,0.66721,0.87804,0.72918,1.06738,0.000614,0.000614,0.000614
16,1417.66,0.62618,0.44095,0.89334,0.82291,0.76292,0.84188,0.65175,0.84646,0.75144,1.05209,0.000515,0.000515,0.000515
17,1507.28,0.61986,0.42318,0.90245,0.81883,0.82836,0.87024,0.66667,0.93733,0.70746,1.10837,0.000416,0.000416,0.000416
18,1598.34,0.62904,0.42533,0.88984,0.82558,0.79851,0.85536,0.66642,0.88536,0.6859,1.08012,0.000317,0.000317,0.000317
19,1689.83,0.61586,0.41299,0.89398,0.83935,0.85781,0.87904,0.69056,0.87191,0.62552,1.08265,0.000218,0.000218,0.000218
20,1780.04,0.59296,0.39539,0.89614,0.84324,0.84301,0.86738,0.68756,0.82889,0.6256,1.04924,0.000119,0.000119,0.000119
