epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,90.2483,0.65904,1.82126,0.92047,0.93194,0.37687,0.42806,0.32106,1.01733,1.0406,1.16982,0.000541044,0.000541044,0.000541044
2,189.703,0.74669,0.72114,0.96307,0.9066,0.37313,0.41644,0.29473,1.1598,1.08896,1.2991,0.00104242,0.00104242,0.00104242
3,285.892,0.7612,0.6741,0.96432,0.90193,0.39761,0.41916,0.30427,1.1463,1.04444,1.27959,0.00148879,0.00148879,0.00148879
4,379.094,0.83266,0.71164,0.99727,0.49689,0.44916,0.44935,0.33107,0.97673,0.93994,1.14794,0.00141945,0.00141945,0.00141945
5,475.77,0.78326,0.64022,0.98167,0.45949,0.45447,0.43864,0.31808,1.07962,0.99306,1.21317,0.00133693,0.00133693,0.00133693
6,568.79,0.77632,0.66311,0.95977,0.47113,0.51026,0.47817,0.34122,1.03714,0.85235,1.18709,0.00125442,0.00125442,0.00125442
7,660.183,0.76735,0.67774,0.97785,0.88936,0.40672,0.47761,0.3455,1.0103,0.92923,1.17957,0.0011719,0.0011719,0.0011719
8,754.862,0.73877,0.65554,0.95925,0.90088,0.39925,0.43696,0.32499,1.06704,0.90968,1.21595,0.00108938,0.00108938,0.00108938
9,853.634,0.74749,0.6373,0.96125,0.41983,0.52285,0.46831,0.34728,1.03017,0.85849,1.1702,0.00100687,0.00100687,0.00100687
10,950.831,0.7285,0.55512,0.95799,0.42443,0.56903,0.48158,0.36235,0.9454,0.78264,1.11445,0.000924352,0.000924352,0.000924352
11,1054.12,0.66296,0.53044,0.91411,0.43816,0.53032,0.48845,0.36025,0.96433,0.78941,1.14221,0.000841835,0.000841835,0.000841835
12,1151.49,0.64169,0.5396,0.91096,0.90299,0.403,0.46274,0.34755,1.03264,0.93791,1.23314,0.000759318,0.000759318,0.000759318
13,1258.62,0.64295,0.48536,0.91984,0.38329,0.69263,0.52329,0.38881,0.99963,0.74137,1.18725,0.000676802,0.000676802,0.000676802
14,1375.13,0.61915,0.47752,0.89733,0.45069,0.60541,0.48429,0.36467,0.97468,0.90677,1.15626,0.000594286,0.000594286,0.000594286
15,1485.19,0.61001,0.45678,0.91692,0.40602,0.5756,0.46886,0.36018,0.99228,0.95689,1.16723,0.000511769,0.000511769,0.000511769
16,1581.73,0.60291,0.42759,0.90803,0.48283,0.57556,0.49054,0.35184,1.00833,1.00021,1.1736,0.000429253,0.000429253,0.000429253
17,1678.29,0.59275,0.42189,0.88949,0.47522,0.54664,0.50166,0.362,1.05365,0.82666,1.23617,0.000346736,0.000346736,0.000346736
18,1772.38,0.56964,0.39455,0.88129,0.54248,0.53545,0.52874,0.37445,1.00907,0.79039,1.17867,0.00026422,0.00026422,0.00026422
19,1869.33,0.55663,0.37805,0.88807,0.53999,0.493,0.51553,0.37774,0.94792,0.85264,1.13547,0.000181703,0.000181703,0.000181703
20,1965.16,0.53958,0.37267,0.87407,0.5407,0.53172,0.52797,0.38366,0.95257,0.82894,1.15485,9.91865e-05,9.91865e-05,9.91865e-05
