epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,85.2084,0.78752,1.65515,0.98859,0.89542,0.38433,0.42138,0.32421,0.95196,1.15735,1.123,0.000541044,0.000541044,0.000541044
2,182.068,0.8666,0.87371,1.02224,0.89677,0.41418,0.43958,0.32727,0.95539,1.04179,1.11317,0.00104242,0.00104242,0.00104242
3,291.717,0.91498,0.89938,1.04526,0.77867,0.32463,0.26954,0.17588,1.04063,1.28368,1.17721,0.00148879,0.00148879,0.00148879
4,397.316,0.95813,0.89671,1.05735,0.87252,0.37313,0.42441,0.30279,1.04136,1.29218,1.15023,0.00141945,0.00141945,0.00141945
5,499.287,0.89623,0.83156,1.02945,0.9189,0.40473,0.4638,0.34178,0.96302,0.9682,1.08438,0.00133693,0.00133693,0.00133693
6,618.692,0.89824,0.82281,1.0253,0.88347,0.31927,0.3503,0.22817,1.12276,1.3243,1.23157,0.00125442,0.00125442,0.00125442
7,720.035,0.91529,0.79412,1.04893,0.91181,0.40078,0.49267,0.33331,1.0385,1.03176,1.19858,0.0011719,0.0011719,0.0011719
8,823.928,0.8861,0.76205,1.01435,0.38196,0.48787,0.44066,0.30949,1.09989,0.97915,1.20124,0.00108938,0.00108938,0.00108938
9,930.432,0.85328,0.81042,1.01028,0.32307,0.47295,0.43749,0.31331,1.02216,1.05156,1.15544,0.00100687,0.00100687,0.00100687
10,1026.29,0.8214,0.67757,0.99382,0.42447,0.70362,0.54731,0.37172,0.99835,0.85571,1.16443,0.000924352,0.000924352,0.000924352
11,1131.96,0.76221,0.68824,0.96435,0.53633,0.5902,0.60747,0.41125,0.99252,0.78237,1.14816,0.000841835,0.000841835,0.000841835
12,1227.09,0.75071,0.63233,0.96351,0.46377,0.52519,0.49036,0.35727,0.9647,0.9095,1.12526,0.000759318,0.000759318,0.000759318
13,1323.07,0.72592,0.60144,0.95341,0.36595,0.63013,0.51501,0.3429,1.05474,0.97164,1.19634,0.000676802,0.000676802,0.000676802
14,1417.09,0.71666,0.58875,0.94378,0.3907,0.6264,0.50919,0.34619,1.01585,0.88938,1.16139,0.000594286,0.000594286,0.000594286
15,1510.97,0.67988,0.56359,0.95283,0.35218,0.53654,0.46949,0.308,1.04794,0.96366,1.22754,0.000511769,0.000511769,0.000511769
16,1603.76,0.68047,0.51936,0.94453,0.41907,0.54291,0.5044,0.3413,0.98898,0.9403,1.17594,0.000429253,0.000429253,0.000429253
17,1711.34,0.65945,0.50284,0.9215,0.49398,0.57977,0.52574,0.3523,1.02036,0.93863,1.20442,0.000346736,0.000346736,0.000346736
18,1806.86,0.62827,0.48512,0.90822,0.48049,0.57276,0.5477,0.37508,0.96646,0.84183,1.14415,0.00026422,0.00026422,0.00026422
19,1901.17,0.62126,0.45288,0.91865,0.45775,0.5653,0.54048,0.37559,0.95638,0.84817,1.15323,0.000181703,0.000181703,0.000181703
20,1994.61,0.61105,0.44992,0.90489,0.62463,0.54664,0.60143,0.3912,0.97125,0.78388,1.17986,9.91865e-05,9.91865e-05,9.91865e-05
