epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,131.485,0.733,0.57865,0.97574,0.6985,0.6866,0.68936,0.45186,1.20619,0.80731,1.33402,0.000546984,0.000546984,0.000546984
2,264.981,0.77009,0.64689,0.99745,0.63252,0.65313,0.67554,0.45098,1.20492,0.74697,1.32301,0.000993489,0.000993489,0.000993489
3,415.847,0.84293,0.73374,1.02378,0.65447,0.63432,0.67025,0.44127,1.21434,0.80476,1.35597,0.00132997,0.00132997,0.00132997
4,563.521,0.82115,0.69264,1.00755,0.53203,0.69837,0.65788,0.43683,1.06346,0.8728,1.23703,0.0011719,0.0011719,0.0011719
5,712.584,0.81613,0.67528,1.02592,0.69895,0.57894,0.63285,0.40654,1.26231,0.98445,1.32551,0.00100687,0.00100687,0.00100687
6,862.935,0.77135,0.65268,1.00955,0.58025,0.68188,0.61681,0.39069,1.15097,0.90316,1.2976,0.000841835,0.000841835,0.000841835
7,1016.44,0.76046,0.66968,0.97283,0.64219,0.72747,0.69908,0.46111,1.12944,0.68536,1.2746,0.000676802,0.000676802,0.000676802
8,1170.52,0.73512,0.60675,0.98511,0.64309,0.7119,0.69931,0.46523,1.08371,0.76559,1.22624,0.000511769,0.000511769,0.000511769
9,1326.26,0.69288,0.53779,0.95504,0.5654,0.72164,0.62851,0.41437,1.0817,0.83246,1.30919,0.000346736,0.000346736,0.000346736
10,1484.49,0.68345,0.50478,0.95679,0.65146,0.71246,0.69555,0.46774,1.0827,0.71497,1.28322,0.000181703,0.000181703,0.000181703
