epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,80.6777,1.03905,3.40456,1.11504,0.62433,0.73881,0.65661,0.42418,1.09171,1.44795,1.191,0.000648148,0.000648148,0.000648148
2,164.312,1.12313,1.44027,1.0999,0.61492,0.53731,0.55109,0.35862,1.40529,1.57057,1.36014,0.00118465,0.00118465,0.00118465
3,259.044,1.15135,1.28877,1.14443,0.55704,0.68657,0.6121,0.39816,1.17901,4.62546,1.25463,0.00158915,0.00158915,0.00158915
4,354.102,1.13745,1.10836,1.1286,0.75874,0.68657,0.77617,0.50775,1.1224,1.41588,1.17083,0.001406,0.001406,0.001406
5,457.009,1.04548,0.99478,1.08887,0.65734,0.71642,0.69737,0.46754,1.07168,2.13215,1.17248,0.001208,0.001208,0.001208
6,566.115,1.02321,0.9573,1.08489,0.80724,0.59382,0.64071,0.45827,1.05556,1.09612,1.12255,0.00101,0.00101,0.00101
7,675.283,0.93864,0.77833,1.05123,0.76469,0.44776,0.47768,0.35784,0.98191,0.89582,1.0902,0.000812,0.000812,0.000812
8,782.338,0.89478,0.78111,1.01736,0.79327,0.64179,0.7216,0.55383,0.92221,0.85437,1.03189,0.000614,0.000614,0.000614
9,880.975,0.88217,0.75147,1.03139,0.8089,0.8209,0.87311,0.66387,0.9149,0.73559,1.03571,0.000416,0.000416,0.000416
10,973.66,0.82435,0.66587,0.97094,0.87012,0.84992,0.89513,0.69604,0.86221,0.70138,1.00048,0.000218,0.000218,0.000218
