epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,80.3891,0.70682,0.56875,0.94177,0.45432,0.53405,0.5138,0.35726,1.01316,0.84482,1.16564,0.000541044,0.000541044,0.000541044
2,156.198,0.7369,0.60247,0.95092,0.58011,0.46035,0.46932,0.31489,1.15349,1.01989,1.27418,0.000988136,0.000988136,0.000988136
3,230.007,0.75512,0.68493,0.95681,0.32277,0.60238,0.44355,0.32365,1.02701,0.95563,1.17243,0.00132521,0.00132521,0.00132521
4,305.757,0.80099,0.73694,0.97289,0.36489,0.63153,0.44835,0.31668,0.99442,0.92497,1.18839,0.0011719,0.0011719,0.0011719
5,386.112,0.75378,0.59667,0.96443,0.46056,0.53032,0.48397,0.34426,0.98111,0.91774,1.14153,0.00100687,0.00100687,0.00100687
6,470.069,0.72736,0.57591,0.95241,0.8965,0.42537,0.51698,0.35541,1.01624,0.96752,1.18336,0.000841835,0.000841835,0.000841835
7,554.528,0.72852,0.56524,0.9453,0.59149,0.45289,0.50056,0.35845,0.99945,0.84359,1.18422,0.000676802,0.000676802,0.000676802
8,638.651,0.71097,0.52919,0.95956,0.40222,0.63899,0.5239,0.36807,0.96962,0.8058,1.17495,0.000511769,0.000511769,0.000511769
9,724.712,0.676,0.49325,0.9149,0.47973,0.57043,0.53288,0.38016,0.9616,0.76956,1.17069,0.000346736,0.000346736,0.000346736
10,811.212,0.64739,0.47017,0.91233,0.51965,0.6278,0.58365,0.3802,0.99364,0.77415,1.19662,0.000181703,0.000181703,0.000181703
