epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,92.9714,1.08077,2.06504,1.11259,0.03461,0.22761,0.04804,0.02744,1.31096,4.00552,1.30077,0.000541044,0.000541044,0.000541044
2,186.675,1.10076,1.28206,1.1264,0.63047,0.19403,0.10986,0.0704,1.22335,2.67513,1.34748,0.001075,0.001075,0.001075
3,294.161,1.08356,1.2472,1.11087,0.78119,0.34328,0.30335,0.19479,1.14912,3.43329,1.3395,0.00158694,0.00158694,0.00158694
4,412.585,1.2025,1.17845,1.17669,0.79666,0.17537,0.19736,0.11072,1.50245,1.58418,1.47785,0.00156798,0.00156798,0.00156798
5,524.318,1.10082,1.08258,1.12148,0.85754,0.28095,0.30766,0.18864,1.36343,2.41741,1.46983,0.00153497,0.00153497,0.00153497
6,647.315,1.09387,1.08454,1.12051,0.87555,0.25746,0.27952,0.18415,1.10648,1.94405,1.21456,0.00150197,0.00150197,0.00150197
7,759.36,1.08097,1.0155,1.11239,0.35768,0.34095,0.34165,0.2228,1.11911,1.24547,1.24669,0.00146896,0.00146896,0.00146896
8,874.799,1.04256,0.98441,1.08578,0.88027,0.39925,0.52159,0.33707,1.05646,1.08161,1.17486,0.00143595,0.00143595,0.00143595
9,996.191,1.02008,0.98489,1.08256,0.26623,0.3348,0.23664,0.16833,1.13316,1.39805,1.23479,0.00140295,0.00140295,0.00140295
10,1112.91,0.98062,0.96008,1.06758,0.90111,0.39552,0.46949,0.32615,1.07244,1.20171,1.21561,0.00136994,0.00136994,0.00136994
11,1227.56,0.97623,0.84619,1.04631,0.41738,0.36847,0.37601,0.25294,1.11528,1.41538,1.17722,0.00133693,0.00133693,0.00133693
12,1336.97,0.97379,0.80152,1.03808,0.4432,0.56297,0.45222,0.31509,1.14321,1.0163,1.2953,0.00130393,0.00130393,0.00130393
13,1464.31,0.94515,0.82431,1.04373,0.7888,0.31343,0.27986,0.20031,1.02249,2.29955,1.1417,0.00127092,0.00127092,0.00127092
14,1577.5,0.95452,0.87517,1.04984,0.86888,0.39179,0.4758,0.30928,1.02527,1.30714,1.14604,0.00123791,0.00123791,0.00123791
15,1686.2,0.8853,0.82482,1.0067,0.40013,0.6292,0.47708,0.31939,1.0852,0.98393,1.22066,0.00120491,0.00120491,0.00120491
16,1790.4,0.88857,0.74521,1.00716,0.63532,0.60028,0.60987,0.39785,1.0313,0.78626,1.19449,0.0011719,0.0011719,0.0011719
17,1893.41,0.86469,0.71689,0.99321,0.60199,0.60615,0.57239,0.3472,1.05043,0.97117,1.18926,0.00113889,0.00113889,0.00113889
18,1994.23,0.87593,0.75764,1.02264,0.46641,0.58769,0.47781,0.33376,0.97791,0.88276,1.14353,0.00110589,0.00110589,0.00110589
19,2100.35,0.87859,0.74306,1.01091,0.62468,0.57592,0.59553,0.40031,1.03712,0.87995,1.19046,0.00107288,0.00107288,0.00107288
20,2201.54,0.85206,0.68123,1.00358,0.4555,0.4944,0.43102,0.2952,1.13178,1.04011,1.25977,0.00103987,0.00103987,0.00103987
21,2307.75,0.8566,0.71498,1.00634,0.40729,0.63386,0.53325,0.37692,1.0519,0.9854,1.22855,0.00100687,0.00100687,0.00100687
22,2419.11,0.81354,0.63687,0.98905,0.53038,0.66065,0.61143,0.43825,0.87452,0.79125,1.07913,0.000973861,0.000973861,0.000973861
23,2528.05,0.78752,0.6231,0.96384,0.66257,0.64272,0.69589,0.47056,0.89968,0.74556,1.10605,0.000940855,0.000940855,0.000940855
24,2637.19,0.79772,0.61297,0.98195,0.52942,0.59071,0.53837,0.36081,1.08178,0.87587,1.22969,0.000907848,0.000907848,0.000907848
25,2747.83,0.79448,0.58984,0.96733,0.48419,0.6313,0.5685,0.33965,1.04229,1.0397,1.18785,0.000874842,0.000874842,0.000874842
26,2855.52,0.79647,0.6132,0.9765,0.44076,0.62034,0.54091,0.36148,0.95951,0.96318,1.14253,0.000841835,0.000841835,0.000841835
27,2964.03,0.75994,0.6143,0.96362,0.54615,0.59725,0.59213,0.39471,0.967,0.83867,1.16005,0.000808828,0.000808828,0.000808828
28,3067.51,0.76751,0.56759,0.9532,0.44068,0.53778,0.51763,0.38464,0.97159,0.81057,1.16228,0.000775822,0.000775822,0.000775822
29,3176.23,0.73285,0.54479,0.94275,0.53154,0.5541,0.52039,0.3686,0.99902,0.87717,1.1858,0.000742815,0.000742815,0.000742815
30,3283.01,0.72708,0.5587,0.95254,0.62476,0.68657,0.66268,0.41306,1.02545,0.84844,1.17719,0.000709809,0.000709809,0.000709809
31,3389.38,0.7324,0.53839,0.95082,0.66707,0.60774,0.63473,0.41062,1.06869,0.79119,1.24576,0.000676802,0.000676802,0.000676802
32,3491.65,0.69933,0.54932,0.9425,0.58209,0.57416,0.53503,0.35349,1.0479,0.90547,1.23183,0.000643795,0.000643795,0.000643795
33,3593.79,0.71191,0.5359,0.9471,0.59989,0.59282,0.63269,0.43978,0.9171,0.69705,1.13114,0.000610789,0.000610789,0.000610789
