epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
34,3695.97,0.71739,0.49577,0.93357,0.57968,0.58706,0.6268,0.45057,0.8827,0.78332,1.09039,0.000577782,0.000577782,0.000577782
35,3793.62,0.69984,0.49823,0.9389,0.55219,0.61287,0.60868,0.42703,0.92549,0.8136,1.14034,0.000544776,0.000544776,0.000544776
36,3897.11,0.68604,0.48768,0.92884,0.52904,0.64272,0.60706,0.41925,0.96019,0.84355,1.17266,0.000511769,0.000511769,0.000511769
37,3997.52,0.67245,0.48342,0.92506,0.62211,0.61287,0.60202,0.43582,0.90142,0.82722,1.13562,0.000478762,0.000478762,0.000478762
38,4096.15,0.64827,0.4568,0.90867,0.54546,0.64646,0.58869,0.4087,0.9509,0.84711,1.16911,0.000445756,0.000445756,0.000445756
39,4195.36,0.655,0.45655,0.91674,0.68344,0.60914,0.59924,0.42397,0.88145,0.75031,1.12984,0.000412749,0.000412749,0.000412749
40,4292.59,0.6554,0.4484,0.91851,0.75412,0.53704,0.6219,0.42465,0.92128,0.68701,1.14615,0.000379743,0.000379743,0.000379743
41,4400.11,0.62398,0.42143,0.89831,0.63011,0.63153,0.6707,0.44032,0.88507,0.70289,1.11962,0.000346736,0.000346736,0.000346736
42,4497.27,0.58309,0.37321,0.89288,0.64816,0.56776,0.59987,0.44018,0.87903,0.82663,1.11816,0.000313729,0.000313729,0.000313729
43,4597.78,0.57979,0.39244,0.89985,0.70101,0.67015,0.65997,0.43642,0.94878,0.79467,1.17809,0.000280723,0.000280723,0.000280723
44,4703.62,0.56489,0.3555,0.86926,0.56104,0.66208,0.60846,0.40965,0.91473,0.76897,1.14386,0.000247716,0.000247716,0.000247716
45,4803.94,0.55098,0.3574,0.87633,0.62526,0.69776,0.67095,0.43477,0.95643,0.77464,1.18733,0.00021471,0.00021471,0.00021471
46,4905.9,0.55556,0.34249,0.87652,0.74904,0.6278,0.69493,0.46033,0.91121,0.76346,1.15183,0.000181703,0.000181703,0.000181703
47,5014.63,0.52939,0.32682,0.87825,0.61446,0.67024,0.65746,0.44276,0.93495,0.81036,1.16663,0.000148696,0.000148696,0.000148696
48,5115.49,0.52311,0.33089,0.87649,0.58254,0.66339,0.64342,0.42532,0.89845,0.78175,1.13867,0.00011569,0.00011569,0.00011569
49,5211.52,0.51803,0.31831,0.86017,0.91303,0.52738,0.64911,0.43999,0.87883,0.76493,1.11864,8.26832e-05,8.26832e-05,8.26832e-05
50,5314.71,0.51116,0.30816,0.8564,0.87338,0.53545,0.64026,0.43112,0.89322,0.80182,1.12935,4.96766e-05,4.96766e-05,4.96766e-05
