epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,88.8536,0.70696,0.5928,0.93404,0.41571,0.49907,0.4692,0.33837,0.99076,0.89524,1.15927,0.000541044,0.000541044,0.000541044
2,174.964,0.72658,0.58841,0.95956,0.38081,0.51772,0.44725,0.31565,1.05943,0.98469,1.20625,0.00104242,0.00104242,0.00104242
3,254.963,0.74669,0.62361,0.95148,0.92779,0.38433,0.45337,0.33419,1.05562,0.93996,1.19746,0.00148879,0.00148879,0.00148879
4,341.896,0.8051,0.65201,0.97503,0.46324,0.52146,0.47527,0.31918,1.12609,0.91258,1.21913,0.00141945,0.00141945,0.00141945
5,428.591,0.77826,0.64074,0.97146,0.35722,0.52982,0.49717,0.35004,1.01417,0.83014,1.16325,0.00133693,0.00133693,0.00133693
6,517.843,0.76053,0.64174,0.95157,0.47086,0.54524,0.51526,0.3742,0.9715,0.80642,1.14603,0.00125442,0.00125442,0.00125442
7,606.032,0.78826,0.66179,0.98308,0.36692,0.59515,0.49711,0.34895,1.03158,0.9338,1.19134,0.0011719,0.0011719,0.0011719
8,696.503,0.73044,0.6112,0.95203,0.37934,0.48274,0.46902,0.33879,0.9939,0.91865,1.15888,0.00108938,0.00108938,0.00108938
9,788.427,0.73613,0.60541,0.95666,0.33736,0.4417,0.41557,0.29774,1.06193,1.09796,1.20511,0.00100687,0.00100687,0.00100687
10,877.138,0.72929,0.55599,0.95665,0.39884,0.61147,0.48095,0.35205,1.00478,0.83803,1.18341,0.000924352,0.000924352,0.000924352
11,977.121,0.67633,0.52447,0.92825,0.63964,0.51752,0.57133,0.40951,0.91039,0.75584,1.12445,0.000841835,0.000841835,0.000841835
12,1073.57,0.68266,0.53562,0.92862,0.70998,0.54011,0.56244,0.37611,0.97181,0.96315,1.18742,0.000759318,0.000759318,0.000759318
13,1165.93,0.68076,0.51137,0.93477,0.54419,0.55784,0.53878,0.38883,0.95023,0.77618,1.14595,0.000676802,0.000676802,0.000676802
14,1258.56,0.65247,0.4863,0.91415,0.47753,0.4916,0.49668,0.35544,0.98075,0.8457,1.17065,0.000594286,0.000594286,0.000594286
15,1351.85,0.64909,0.49527,0.93171,0.49798,0.48041,0.46783,0.34241,0.99635,0.84564,1.20646,0.000511769,0.000511769,0.000511769
16,1445.3,0.64353,0.45357,0.92781,0.39658,0.54524,0.48637,0.35539,1.02602,0.85597,1.2418,0.000429253,0.000429253,0.000429253
17,1540.48,0.60459,0.44754,0.89421,0.53492,0.51539,0.53122,0.35849,1.01395,0.85009,1.21126,0.000346736,0.000346736,0.000346736
18,1635.4,0.58864,0.41226,0.89346,0.6342,0.48209,0.52577,0.36372,1.0125,0.90782,1.21958,0.00026422,0.00026422,0.00026422
19,1730.53,0.5966,0.38799,0.90885,0.6022,0.51912,0.54763,0.37887,0.95231,0.8149,1.17674,0.000181703,0.000181703,0.000181703
20,1825.57,0.56767,0.4002,0.88424,0.65438,0.54664,0.57393,0.39086,0.94543,0.77783,1.16359,9.91865e-05,9.91865e-05,9.91865e-05
