epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,157.054,0.9102,0.8279,1.0689,0.44611,0.67306,0.55569,0.38859,1.25033,1.21859,1.35277,0.000546984,0.000546984,0.000546984
2,320.205,0.89567,0.85471,1.0704,0.53597,0.6294,0.63628,0.41235,1.26323,1.12165,1.35833,0.00104807,0.00104807,0.00104807
3,479.185,0.94339,0.89836,1.08837,0.49573,0.69443,0.62794,0.41647,1.17045,1.03576,1.26769,0.00149414,0.00149414,0.00149414
4,637.855,0.96641,0.88742,1.0931,0.59348,0.67212,0.67155,0.43548,1.11004,0.84971,1.24669,0.00141945,0.00141945,0.00141945
5,813.874,0.92238,0.84948,1.06396,0.57737,0.73396,0.68433,0.43929,1.21616,1.03276,1.28193,0.00133693,0.00133693,0.00133693
6,989.46,0.93486,0.84223,1.07011,0.57362,0.65211,0.62017,0.40095,1.10378,0.8593,1.25418,0.00125442,0.00125442,0.00125442
7,1164.81,0.95175,0.885,1.08985,0.63254,0.62783,0.6619,0.44135,1.18348,0.85611,1.3032,0.0011719,0.0011719,0.0011719
8,1337.91,0.90753,0.78267,1.04932,0.62136,0.72244,0.65504,0.43777,1.19907,0.83414,1.30334,0.00108938,0.00108938,0.00108938
9,1517.18,0.89196,0.76714,1.05825,0.56557,0.72849,0.62647,0.40955,1.22719,0.93536,1.34177,0.00100687,0.00100687,0.00100687
10,1695.57,0.8576,0.75219,1.03669,0.58124,0.66444,0.64858,0.42657,1.19447,0.82641,1.34367,0.000924352,0.000924352,0.000924352
11,1881.59,0.84006,0.77986,1.03636,0.59861,0.56815,0.60439,0.38956,1.16936,1.16073,1.28157,0.000841835,0.000841835,0.000841835
12,2054.52,0.82525,0.71491,1.04032,0.63416,0.67093,0.67653,0.44415,1.13042,0.87344,1.26408,0.000759318,0.000759318,0.000759318
13,2226.82,0.77877,0.7709,0.99607,0.6431,0.68362,0.69375,0.46003,1.0988,0.75706,1.26926,0.000676802,0.000676802,0.000676802
14,2403.85,0.75035,0.64835,1.00231,0.64054,0.6824,0.71555,0.46765,1.20281,0.81739,1.27034,0.000594286,0.000594286,0.000594286
15,2570.37,0.74131,0.59726,0.97943,0.72756,0.67149,0.72941,0.48142,1.14192,0.76673,1.26475,0.000511769,0.000511769,0.000511769
16,2741.18,0.7298,0.56726,0.97845,0.69197,0.67418,0.72384,0.48977,1.18579,0.76076,1.3154,0.000429253,0.000429253,0.000429253
17,2901.91,0.73324,0.5716,0.99315,0.63766,0.67326,0.64662,0.43636,1.14236,0.91241,1.31042,0.000346736,0.000346736,0.000346736
18,3066.99,0.71835,0.56427,0.97185,0.68158,0.66342,0.69839,0.46891,1.14531,0.80894,1.26438,0.00026422,0.00026422,0.00026422
19,3230.93,0.68763,0.52136,0.96253,0.63293,0.70597,0.69682,0.47501,1.16017,0.76957,1.29456,0.000181703,0.000181703,0.000181703
20,3401.4,0.67743,0.52182,0.96331,0.68867,0.66974,0.71637,0.48601,1.15704,0.81949,1.29219,9.91865e-05,9.91865e-05,9.91865e-05
