epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,78.5716,0.94428,0.8543,1.0261,0.77673,0.85821,0.8558,0.63463,0.91459,0.84719,1.0371,0.000648148,0.000648148,0.000648148
2,163.473,0.96338,0.82568,1.0223,0.80239,0.72725,0.81514,0.60031,1.04811,0.88263,1.12658,0.00124973,0.00124973,0.00124973
3,280.123,1.01934,0.86044,1.07717,0.61679,0.58209,0.4816,0.3242,1.05573,1.45581,1.12731,0.00178531,0.00178531,0.00178531
4,406.055,0.94979,0.80983,1.04324,0.69682,0.5,0.48941,0.33476,1.14128,1.04617,1.18029,0.001703,0.001703,0.001703
5,531.907,1.02012,0.88019,1.06928,0.66299,0.54478,0.5909,0.37349,1.27094,1.14467,1.25861,0.001604,0.001604,0.001604
6,650.82,0.97686,0.83578,1.03951,0.78082,0.771,0.81205,0.56654,1.005,1.03177,1.09052,0.001505,0.001505,0.001505
7,778.269,0.94303,0.78253,1.02092,0.83281,0.8209,0.88264,0.66341,0.91631,0.85396,1.05177,0.001406,0.001406,0.001406
8,908.244,0.90267,0.70134,1.00777,0.77967,0.86567,0.8792,0.67049,0.9326,0.73022,1.07799,0.001307,0.001307,0.001307
9,1030.47,0.91001,0.75771,1.02221,0.75302,0.74627,0.78905,0.56415,1.06988,1.04265,1.15917,0.001208,0.001208,0.001208
10,1152.87,0.8721,0.73062,1.00968,0.72551,0.81343,0.82039,0.59345,0.9767,0.80202,1.10602,0.001109,0.001109,0.001109
11,1272.63,0.81717,0.68308,0.98471,0.63769,0.77612,0.70996,0.47744,1.08433,1.05321,1.18102,0.00101,0.00101,0.00101
12,1392.54,0.80775,0.6566,0.97389,0.80376,0.85821,0.87563,0.65673,0.91149,0.76518,1.06008,0.000911,0.000911,0.000911
13,1519.63,0.80017,0.61163,0.97859,0.79524,0.78255,0.83719,0.62009,0.94845,0.76329,1.05252,0.000812,0.000812,0.000812
14,1642.96,0.75073,0.58243,0.94425,0.76369,0.86822,0.87984,0.6651,0.94408,0.68675,1.0707,0.000713,0.000713,0.000713
15,1740.22,0.75624,0.56056,0.94128,0.82116,0.81343,0.86435,0.66621,0.84562,0.70953,1.04537,0.000614,0.000614,0.000614
16,1837.68,0.7119,0.51675,0.92689,0.81318,0.87704,0.89218,0.69616,0.8532,0.6783,1.04674,0.000515,0.000515,0.000515
17,1938.35,0.719,0.51296,0.94624,0.81062,0.83582,0.88373,0.66978,0.8994,0.65372,1.06587,0.000416,0.000416,0.000416
18,2039.78,0.6832,0.48021,0.90971,0.87501,0.85821,0.91085,0.70368,0.85787,0.62514,1.04573,0.000317,0.000317,0.000317
19,2156.66,0.67694,0.47563,0.91437,0.82943,0.87092,0.89551,0.7176,0.80283,0.63123,1.02129,0.000218,0.000218,0.000218
20,2270.3,0.65189,0.4508,0.91625,0.8435,0.8806,0.89768,0.70416,0.8144,0.62616,1.02659,0.000119,0.000119,0.000119
